run_id,outter_seed,outter_fold,C,l1_ratio,top_k,mean_inner_accuracy,std_inner_accuracy,n_estimators,max_depth,min_samples_split
1,1,1,0.1,0.3,10,0.85,0.10897247358851683,200,5.0,5
1,1,1,0.1,0.3,20,0.7875,0.0637377439199098,200,5.0,5
1,1,1,0.1,0.3,50,0.8375,0.049999999999999996,200,5.0,5
1,1,1,0.1,0.3,5,0.7625,0.06123724356957946,100,10.0,2
1,1,1,0.1,0.3,10,0.8125,0.13110110602126895,100,10.0,2
1,1,1,0.1,0.3,20,0.8,0.046770717334674264,100,10.0,2
1,1,1,0.1,0.3,50,0.8,0.07288689868556626,100,10.0,2
1,1,1,0.1,0.3,5,0.7625,0.06123724356957946,200,10.0,2
1,1,1,0.1,0.3,10,0.825,0.11456439237389601,200,10.0,2
1,1,1,0.1,0.3,20,0.7875,0.0637377439199098,200,10.0,2
1,1,1,0.1,0.3,50,0.8125,0.125,200,10.0,2
1,1,1,0.1,0.3,5,0.775,0.0637377439199098,100,10.0,5
1,1,1,0.1,0.3,10,0.8375,0.1015504800579495,100,10.0,5
1,1,1,0.1,0.3,20,0.825,0.082915619758885,100,10.0,5
1,1,1,0.1,0.3,50,0.8375,0.03061862178478973,100,10.0,5
1,1,1,0.1,0.3,5,0.775,0.0637377439199098,200,10.0,5
1,1,1,0.1,0.3,10,0.825,0.09185586535436917,200,10.0,5
1,1,1,0.1,0.3,20,0.7875,0.0637377439199098,200,10.0,5
1,1,1,0.1,0.3,50,0.8375,0.0637377439199098,200,10.0,5
1,1,1,0.1,0.5,5,0.75,0.09682458365518543,100,,2
1,1,1,0.1,0.5,10,0.775,0.075,100,,2
1,1,1,0.1,0.5,20,0.8,0.046770717334674264,100,,2
1,1,1,0.1,0.5,50,0.775,0.03061862178478973,100,,2
1,1,1,0.1,0.5,5,0.775,0.08477912478906585,200,,2
1,1,1,0.1,0.5,10,0.775,0.08477912478906585,200,,2
1,1,1,0.1,0.5,20,0.825,0.046770717334674264,200,,2
1,1,1,0.1,0.5,50,0.8125,0.06846531968814576,200,,2
1,1,1,0.1,0.5,5,0.7625,0.09185586535436917,100,,5
1,1,1,0.1,0.5,10,0.7875,0.08477912478906585,100,,5
1,1,1,0.1,0.5,20,0.8,0.046770717334674264,100,,5
1,1,1,0.1,0.5,50,0.8125,0.10458250331675945,100,,5
1,1,1,0.1,0.5,5,0.775,0.08477912478906585,200,,5
1,1,1,0.1,0.5,10,0.775,0.075,200,,5
1,1,1,0.1,0.5,20,0.8125,0.03952847075210474,200,,5
1,1,1,0.1,0.5,50,0.8125,0.08838834764831845,200,,5
1,1,1,0.1,0.5,5,0.7625,0.09185586535436917,100,5.0,2
1,1,1,0.1,0.5,10,0.775,0.09354143466934853,100,5.0,2
1,1,1,0.1,0.5,20,0.775,0.08477912478906585,100,5.0,2
1,1,1,0.1,0.5,50,0.7875,0.05,100,5.0,2
1,1,1,0.1,0.5,5,0.7875,0.08477912478906585,200,5.0,2
1,1,1,0.1,0.5,10,0.7375,0.07288689868556626,200,5.0,2
1,1,1,0.1,0.5,20,0.7875,0.0637377439199098,200,5.0,2
1,1,1,0.1,0.5,50,0.775,0.06373774391990981,200,5.0,2
1,1,1,0.1,0.5,5,0.7625,0.09185586535436917,100,5.0,5
1,1,1,0.1,0.5,10,0.7875,0.08477912478906585,100,5.0,5
1,1,1,0.1,0.5,20,0.8125,0.03952847075210474,100,5.0,5
1,1,1,0.1,0.5,50,0.8125,0.10458250331675945,100,5.0,5
1,1,1,0.1,0.5,5,0.775,0.08477912478906585,200,5.0,5
